# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 6638751665
#
# Overhead  Command    Shared Object      Symbol                                      
# ........  .........  .................  ............................................
#
    38.20%  crypt.out  crypt.out          [.] main
    36.64%  crypt.out  crypt.out          [.] modify_sector_cpu_kernel
     2.44%  crypt.out  libc.so.6          [.] __random
     2.30%  crypt.out  [kernel.kallsyms]  [k] __irqentry_text_end
     2.15%  crypt.out  [kernel.kallsyms]  [k] error_entry
     1.90%  crypt.out  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     1.69%  crypt.out  [kernel.kallsyms]  [k] clear_page_erms
     1.42%  crypt.out  [kernel.kallsyms]  [k] native_irq_return_iret
     0.91%  crypt.out  [kernel.kallsyms]  [k] sync_regs
     0.76%  crypt.out  [kernel.kallsyms]  [k] __handle_mm_fault
     0.64%  crypt.out  [kernel.kallsyms]  [k] release_pages
     0.51%  crypt.out  [kernel.kallsyms]  [k] rmqueue_bulk
     0.51%  crypt.out  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.48%  crypt.out  [kernel.kallsyms]  [k] mem_cgroup_charge_statistics.constprop.0
     0.43%  crypt.out  [kernel.kallsyms]  [k] zap_pte_range
     0.42%  crypt.out  libc.so.6          [.] __random_r
     0.41%  crypt.out  [kernel.kallsyms]  [k] handle_mm_fault
     0.37%  crypt.out  [kernel.kallsyms]  [k] do_anonymous_page
     0.33%  crypt.out  [kernel.kallsyms]  [k] __free_one_page
     0.27%  crypt.out  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.25%  crypt.out  [kernel.kallsyms]  [k] alloc_pages_vma
     0.24%  crypt.out  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.24%  crypt.out  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.24%  crypt.out  [kernel.kallsyms]  [k] rmqueue
     0.24%  crypt.out  [kernel.kallsyms]  [k] __alloc_pages
     0.24%  crypt.out  [kernel.kallsyms]  [k] __mod_node_page_state
     0.22%  crypt.out  [kernel.kallsyms]  [k] do_user_addr_fault
     0.22%  crypt.out  [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.21%  crypt.out  [kernel.kallsyms]  [k] get_page_from_freelist
     0.21%  crypt.out  [kernel.kallsyms]  [k] handle_pte_fault
     0.21%  crypt.out  [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.19%  crypt.out  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.19%  crypt.out  [kernel.kallsyms]  [k] page_remove_rmap
     0.18%  crypt.out  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.17%  crypt.out  [kernel.kallsyms]  [k] down_read_trylock
     0.16%  crypt.out  [kernel.kallsyms]  [k] __cgroup_throttle_swaprate
     0.15%  crypt.out  [kernel.kallsyms]  [k] try_charge_memcg
     0.15%  crypt.out  [kernel.kallsyms]  [k] __next_zones_zonelist
     0.13%  crypt.out  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.13%  crypt.out  [kernel.kallsyms]  [k] page_mapping
     0.13%  crypt.out  [kernel.kallsyms]  [k] free_swap_cache
     0.12%  crypt.out  [kernel.kallsyms]  [k] vmacache_find
     0.12%  crypt.out  libc.so.6          [.] rand
     0.12%  crypt.out  [kernel.kallsyms]  [k] up_read
     0.12%  crypt.out  [kernel.kallsyms]  [k] __mod_lruvec_state
     0.12%  crypt.out  [kernel.kallsyms]  [k] free_pcp_prepare
     0.10%  crypt.out  [kernel.kallsyms]  [k] __count_memcg_events
     0.10%  crypt.out  [kernel.kallsyms]  [k] exc_page_fault
     0.10%  crypt.out  [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.09%  crypt.out  [kernel.kallsyms]  [k] lru_cache_add
     0.09%  crypt.out  [kernel.kallsyms]  [k] find_vma
     0.09%  crypt.out  [kernel.kallsyms]  [k] pmd_val
