# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cycles'
# Event count (approx.): 14961194677
#
# Overhead  Command       Shared Object      Symbol                                      
# ........  ............  .................  ............................................
#
    71.97%  newCrypt.out  newCrypt.out       [.] modify_sector_cpu_kernel
    17.22%  newCrypt.out  newCrypt.out       [.] main
     1.04%  newCrypt.out  libc.so.6          [.] __random
     0.96%  newCrypt.out  [kernel.kallsyms]  [k] __irqentry_text_end
     0.88%  newCrypt.out  [kernel.kallsyms]  [k] error_entry
     0.72%  newCrypt.out  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.72%  newCrypt.out  [kernel.kallsyms]  [k] clear_page_erms
     0.66%  newCrypt.out  [kernel.kallsyms]  [k] native_irq_return_iret
     0.43%  newCrypt.out  [kernel.kallsyms]  [k] sync_regs
     0.31%  newCrypt.out  [kernel.kallsyms]  [k] __handle_mm_fault
     0.21%  newCrypt.out  [kernel.kallsyms]  [k] zap_pte_range
     0.20%  newCrypt.out  [kernel.kallsyms]  [k] __free_one_page
     0.19%  newCrypt.out  [kernel.kallsyms]  [k] do_anonymous_page
     0.19%  newCrypt.out  libc.so.6          [.] __random_r
     0.17%  newCrypt.out  [kernel.kallsyms]  [k] __alloc_pages
     0.17%  newCrypt.out  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.16%  newCrypt.out  [kernel.kallsyms]  [k] rmqueue_bulk
     0.16%  newCrypt.out  [kernel.kallsyms]  [k] release_pages
     0.15%  newCrypt.out  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.14%  newCrypt.out  [kernel.kallsyms]  [k] handle_mm_fault
     0.13%  newCrypt.out  [kernel.kallsyms]  [k] try_charge_memcg
     0.13%  newCrypt.out  [kernel.kallsyms]  [k] mem_cgroup_charge_statistics.constprop.0
     0.13%  newCrypt.out  [kernel.kallsyms]  [k] handle_pte_fault
     0.11%  newCrypt.out  [kernel.kallsyms]  [k] exc_page_fault
     0.11%  newCrypt.out  [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.10%  newCrypt.out  [kernel.kallsyms]  [k] __next_zones_zonelist
     0.10%  newCrypt.out  [kernel.kallsyms]  [k] rmqueue
     0.10%  newCrypt.out  [kernel.kallsyms]  [k] do_user_addr_fault
     0.09%  newCrypt.out  [kernel.kallsyms]  [k] alloc_pages_vma
     0.09%  newCrypt.out  [kernel.kallsyms]  [k] get_page_from_freelist
     0.09%  newCrypt.out  [kernel.kallsyms]  [k] free_unref_page_list
     0.09%  newCrypt.out  [kernel.kallsyms]  [k] free_pcppages_bulk
     0.08%  newCrypt.out  [kernel.kallsyms]  [k] up_read
     0.08%  newCrypt.out  [kernel.kallsyms]  [k] __page_set_anon_rmap
